B00, 19
B03, Blotteritem, {'type': 'Trade', 'time': 357.14166666642404, 'price': 203, 'party1': 'S31', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 382.4208333330677, 'price': 104, 'party1': 'B03', 'party2': 'S16', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 440.3249999996817, 'price': 176, 'party1': 'B03', 'party2': 'S22', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 466.9499999996575, 'price': 171, 'party1': 'S86', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 510.5124999996179, 'price': 254, 'party1': 'B03', 'party2': 'S84', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 574.9416666670846, 'price': 169, 'party1': 'B03', 'party2': 'S48', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 577.2750000004477, 'price': 199, 'party1': 'S62', 'party2': 'B03', 'qty': 1}
B04, 18
B04, Blotteritem, {'type': 'Trade', 'time': 20.595833333332486, 'price': 202, 'party1': 'B04', 'party2': 'S15', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 39.51250000000448, 'price': 203, 'party1': 'B04', 'party2': 'S94', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 115.39166666664389, 'price': 215, 'party1': 'B04', 'party2': 'S73', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 137.32916666662393, 'price': 218, 'party1': 'B04', 'party2': 'S45', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 177.22083333325432, 'price': 216, 'party1': 'B04', 'party2': 'S06', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 194.29999999990545, 'price': 206, 'party1': 'B04', 'party2': 'S86', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 241.82083333319557, 'price': 208, 'party1': 'B04', 'party2': 'S66', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 263.16249999984285, 'price': 232, 'party1': 'B04', 'party2': 'S53', 'qty': 1}
